COUNT    | Process Argument
       2 | process.args:"dllhost.exe" and not cidrmatch(destination.ip, "10.0.0.0/8", "127.0.0.0/8", "169.254.0.0/16", "172.16.0.0/12", "192.0.0.0/24", "192.0.0.0/29", "192.0.0.8/32", "192.0.0.9/32", "192.0.0.10/32", "192.0.0.170/32", "192.0.0.171/32", "192.0.2.0/24", "192.31.196.0/24", "192.52.193.0/24", "192.168.0.0/16", "192.88.99.0/24", "224.0.0.0/4", "100.64.0.0/10", "192.175.48.0/24", "198.18.0.0/15", "198.51.100.0/24", "203.0.113.0/24", "240.0.0.0/4", "::1", "fe80::/10", "ff00::/8")
       2 | process.args:"elastic-agent"
       2 | process.args:"export"
       2 | process.args:"firewall"
       2 | process.args:"get"
       2 | process.args:"histfile")
       2 | process.args:"history"
       2 | process.args:"manufacturer*"
       2 | process.args:"new-mailboxexportrequest*"
       2 | process.args:"off"
       2 | process.args:"recoveryenabled"))
       2 | process.args:"rundll32.exe" and not cidrmatch(destination.ip, "10.0.0.0/8", "127.0.0.0/8", "169.254.0.0/16", "172.16.0.0/12", "192.0.0.0/24", "192.0.0.0/29", "192.0.0.8/32", "192.0.0.9/32", "192.0.0.10/32", "192.0.0.170/32", "192.0.0.171/32", "192.0.2.0/24", "192.31.196.0/24", "192.52.193.0/24", "192.168.0.0/16", "192.88.99.0/24", "224.0.0.0/4", "100.64.0.0/10", "192.175.48.0/24","198.18.0.0/15", "198.51.100.0/24", "203.0.113.0/24", "240.0.0.0/4", "::1", "fe80::/10", "ff00::/8")
       2 | process.args:"runwizard"
       2 | process.args:"set-casmailbox*activesyncalloweddeviceids*"
       2 | process.args:"set-mppreference"
       2 | process.args:"set"
       2 | process.args:"set"
       2 | process.args:"shadowcopy"
       2 | process.args:"smb://*"
       2 | process.args:"smbfs"
       2 | process.args:"stop"
       2 | process.args:"stricthostkeychecking=no" and process.command_line:("scp *localhost:/*", "scp *127.0.0.1:/*") 
       2 | process.args:"unset"
       2 | process.args:"use"
       2 | process.args:"use" and /* including hidden and webdav based online shares such as onedrive */
       2 | process.args:"user"
       2 | process.args:"vagrant@*127.0.0.1*"
